step,id,x,y,hunger_level,wait
0,1,61,84,95.3233,1
0,2,68,56,48.4111,1
0,3,79,46,3.95281,1
0,4,2,8,16.445,1
0,5,85,50,43.9854,0
0,6,40,75,55.1235,0
0,7,58,13,41.1017,1
0,8,11,87,75.4082,1
0,9,57,21,67.8873,1
0,10,92,46,17.0095,1
0,11,20,15,58.8069,0
0,12,36,51,31.4107,1
0,13,64,31,38.6216,1
0,14,80,35,30.8993,0
0,15,52,32,32.8367,1
0,16,88,32,84.0281,1
0,17,76,4,34.5383,1
0,18,44,31,37.158,1
0,19,70,55,82.6224,0
0,20,84,25,5.14132,1
0,21,54,0,38.6051,1
0,22,78,93,56.6479,1
0,23,55,80,56.4855,0
0,24,35,35,36.1745,0
0,25,5,15,4.3182,0
0,26,5,75,13.6893,0
0,27,5,59,76.6876,1
0,28,95,30,26.425,0
0,29,35,65,29.7522,0
0,30,20,40,16.4854,0
0,31,11,97,97.0733,1
0,32,25,43,51.926,1
0,33,34,30,75.9918,1
0,34,71,93,8.41857,1
0,35,72,63,20.592,1
0,36,30,30,87.1543,0
0,37,70,25,78.5865,0
0,38,5,25,47.0086,0
0,39,3,11,3.791,1
0,40,70,95,94.8788,0
0,41,89,87,54.9777,1
0,42,64,2,40.9233,1
0,43,25,95,76.8169,0
0,44,82,68,80.2755,1
0,45,10,23,4.87619,1
0,46,25,25,41.6279,0
0,47,17,42,24.0977,1
0,48,89,82,10.1535,1
0,49,87,58,44.2004,1
0,50,40,60,0,0
0,51,47,28,41.4433,1
0,52,19,61,46.6969,1
0,53,10,45,67.4042,0
0,54,79,64,94.6657,1
0,55,65,0,87.6814,0
0,56,3,27,8.16944,1
0,57,75,35,26.0632,0
0,58,20,45,35.6213,0
0,59,64,37,33.919,1
0,60,30,15,72.8933,0
0,61,30,65,21.2601,0
0,62,97,51,3.74971,1
0,63,84,60,70.1302,1
0,64,60,50,0,0
0,65,74,13,31.0933,1
0,66,44,44,50.6533,1
0,67,1,31,101.236,1
0,68,98,5,32.2452,1
0,69,92,55,76.0484,1
0,70,30,85,20.5442,0
0,71,10,40,9.9411,0
0,72,16,10,36.1311,1
0,73,12,69,93.7438,1
0,74,15,75,89.2535,0
0,75,95,75,56.717,0
0,76,59,66,14.0172,1
0,77,80,88,47.6443,1
0,78,27,80,26.759,1
0,79,0,85,42.8872,0
0,80,61,64,71.2335,1
0,81,98,18,53.4643,1
0,82,15,85,64.6593,0
0,83,92,63,14.8075,1
0,84,54,78,47.1903,1
0,85,88,48,80.2184,1
0,86,9,93,87.6785,1
0,87,84,47,65.3918,1
0,88,11,11,26.0079,1
0,89,68,38,87.1117,1
0,90,20,68,33.5875,1
0,91,92,58,76.3826,1
0,92,82,28,3.75133,1
0,93,50,45,79.4175,0
0,94,89,99,6.51195,1
0,95,62,25,78.6228,1
0,96,51,66,15.6444,1
0,97,5,60,0.126947,0
0,98,15,0,44.5749,0
0,99,85,5,61.4744,0
0,100,45,15,76.455,0
1,1,60,85,90.3233,0
1,2,68,55,50.4111,2
1,3,80,45,0,0
1,4,2,9,18.445,2
1,5,85,50,38.9854,0
1,6,40,75,50.1235,0
1,7,57,14,43.1017,2
1,8,12,86,77.4082,2
1,9,56,21,69.8873,2
1,10,91,47,19.0095,2
1,11,20,15,53.8069,0
1,12,37,50,33.4107,2
1,13,65,30,33.6216,0
1,14,80,35,25.8993,0
1,15,51,32,34.8367,2
1,16,88,33,86.0281,2
1,17,75,5,29.5383,0
1,18,45,30,32.158,0
1,19,70,55,77.6224,0
1,20,85,25,0.141317,0
1,21,55,0,33.6051,0
1,22,79,94,58.6479,2
1,23,55,80,51.4855,0
1,24,35,35,31.1745,0
1,25,5,15,0,0
1,26,5,75,8.68928,0
1,27,4,58,78.6876,2
1,28,95,30,21.425,0
1,29,35,65,24.7522,0
1,30,20,40,11.4854,0
1,31,10,98,99.0733,2
1,32,26,42,53.926,2
1,33,33,31,77.9918,2
1,34,70,92,10.4186,2
1,35,73,63,22.592,2
1,36,30,30,82.1543,0
1,37,70,25,73.5865,0
1,38,5,25,42.0086,0
1,39,4,12,5.791,2
1,40,70,95,89.8788,0
1,41,90,86,56.9777,2
1,42,65,3,42.9233,2
1,43,25,95,71.8169,0
1,44,81,68,82.2755,2
1,45,9,22,6.87619,2
1,46,25,25,36.6279,0
1,47,16,42,26.0977,2
1,48,90,82,12.1535,2
1,49,87,59,46.2004,2
1,50,41,61,2,1
1,51,48,29,43.4433,2
1,52,20,61,48.6969,2
1,53,10,45,62.4042,0
1,54,80,65,89.6657,0
1,55,65,0,82.6814,0
1,56,2,27,10.1694,2
1,57,75,35,21.0632,0
1,58,20,45,30.6213,0
1,59,63,37,35.919,2
1,60,30,15,67.8933,0
1,61,30,65,16.2601,0
1,62,98,52,5.74971,2
1,63,85,60,65.1302,0
1,64,59,49,2,1
1,65,74,14,33.0933,2
1,66,45,45,45.6533,0
1,67,0,31,103.236,2
1,68,99,5,34.2452,2
1,69,93,54,78.0484,2
1,70,30,85,15.5442,0
1,71,10,40,4.9411,0
1,72,15,10,31.1311,0
1,73,12,68,95.7438,2
1,74,15,75,84.2535,0
1,75,95,75,51.717,0
1,76,60,65,9.01723,0
1,77,79,87,49.6443,2
1,78,26,80,28.759,2
1,79,0,85,37.8872,0
1,80,61,63,73.2335,2
1,81,98,17,55.4643,2
1,82,15,85,59.6593,0
1,83,91,63,16.8075,2
1,84,55,78,49.1903,2
1,85,87,47,82.2184,2
1,86,10,93,89.6785,2
1,87,84,46,67.3918,2
1,88,12,12,28.0079,2
1,89,67,39,89.1117,2
1,90,21,67,35.5875,2
1,91,93,59,78.3826,2
1,92,83,27,5.75133,2
1,93,50,45,74.4175,0
1,94,88,98,8.51195,2
1,95,61,25,80.6228,2
1,96,50,65,10.6444,0
1,97,5,60,0,0
1,98,15,0,39.5749,0
1,99,85,5,56.4744,0
1,100,45,15,71.455,0
2,1,60,85,85.3233,0
2,2,67,55,52.4111,3
2,3,81,45,2,1
2,4,3,9,20.445,3
2,5,85,50,33.9854,0
2,6,40,75,45.1235,0
2,7,57,15,45.1017,3
2,8,13,87,79.4082,3
2,9,55,20,64.8873,0
2,10,91,48,21.0095,3
2,11,20,15,48.8069,0
2,12,38,49,35.4107,3
2,13,65,30,28.6216,0
2,14,80,35,20.8993,0
2,15,50,33,36.8367,3
2,16,88,34,88.0281,3
2,17,75,5,24.5383,0
2,18,45,30,27.158,0
2,19,70,55,72.6224,0
2,20,85,25,0,0
2,21,55,0,28.6051,0
2,22,80,95,53.6479,0
2,23,55,80,46.4855,0
2,24,35,35,26.1745,0
2,25,4,15,2,1
2,26,5,75,3.68928,0
2,27,3,59,80.6876,3
2,28,95,30,16.425,0
2,29,35,65,19.7522,0
2,30,20,40,6.48539,0
2,31,9,97,101.073,3
2,32,27,43,55.926,3
2,33,34,31,79.9918,3
2,34,69,93,12.4186,3
2,35,72,64,24.592,3
2,36,30,30,77.1543,0
2,37,70,25,68.5865,0
2,38,5,25,37.0086,0
2,39,3,12,7.791,3
2,40,70,95,84.8788,0
2,41,90,85,51.9777,0
2,42,64,3,44.9233,3
2,43,25,95,66.8169,0
2,44,80,68,84.2755,3
2,45,9,21,8.87619,3
2,46,25,25,31.6279,0
2,47,16,43,28.0977,3
2,48,90,81,14.1535,3
2,49,87,60,48.2004,3
2,50,42,62,4,2
2,51,48,30,45.4433,3
2,52,20,60,43.6969,0
2,53,10,45,57.4042,0
2,54,80,65,84.6657,0
2,55,65,0,77.6814,0
2,56,1,28,12.1694,3
2,57,75,35,16.0632,0
2,58,20,45,25.6213,0
2,59,63,38,37.919,3
2,60,30,15,62.8933,0
2,61,30,65,11.2601,0
2,62,99,53,7.74971,3
2,63,85,60,60.1302,0
2,64,60,49,4,2
2,65,75,15,28.0933,0
2,66,45,45,40.6533,0
2,67,0,30,98.2361,0
2,68,98,4,36.2452,3
2,69,92,53,80.0484,3
2,70,30,85,10.5442,0
2,71,10,40,0,0
2,72,15,10,26.1311,0
2,73,13,68,97.7438,3
2,74,15,75,79.2535,0
2,75,95,75,46.717,0
2,76,60,65,4.01723,0
2,77,80,87,51.6443,3
2,78,25,80,23.759,0
2,79,0,85,32.8872,0
2,80,60,63,75.2335,3
2,81,98,16,57.4643,3
2,82,15,85,54.6593,0
2,83,91,62,18.8075,3
2,84,55,79,51.1903,3
2,85,86,48,84.2184,3
2,86,11,94,91.6785,3
2,87,85,45,62.3918,0
2,88,13,13,30.0079,3
2,89,68,39,91.1117,3
2,90,22,68,37.5875,3
2,91,93,58,80.3826,3
2,92,84,27,7.75133,3
2,93,50,45,69.4175,0
2,94,87,98,10.512,3
2,95,60,25,75.6228,0
2,96,50,65,5.64436,0
2,97,4,61,2,1
2,98,15,0,34.5749,0
2,99,85,5,51.4744,0
2,100,45,15,66.455,0
3,1,60,85,80.3233,0
3,2,66,55,54.4111,4
3,3,82,46,4,2
3,4,4,9,22.445,4
3,5,85,50,28.9854,0
3,6,40,75,40.1235,0
3,7,56,16,47.1017,4
3,8,13,86,81.4082,4
3,9,55,20,59.8873,0
3,10,90,47,23.0095,4
3,11,20,15,43.8069,0
3,12,38,50,37.4107,4
3,13,65,30,23.6216,0
3,14,80,35,15.8993,0
3,15,50,34,38.8367,4
3,16,89,35,90.0281,4
3,17,75,5,19.5383,0
3,18,45,30,22.158,0
3,19,70,55,67.6224,0
3,20,84,24,2,1
3,21,55,0,23.6051,0
3,22,80,95,48.6479,0
3,23,55,80,41.4855,0
3,24,35,35,21.1745,0
3,25,3,16,4,2
3,26,5,75,0,0
3,27,2,59,82.6876,4
3,28,95,30,11.425,0
3,29,35,65,14.7522,0
3,30,20,40,1.48539,0
3,31,8,98,103.073,4
3,32,26,43,57.926,4
3,33,35,30,74.9918,0
3,34,70,94,14.4186,4
3,35,72,65,26.592,4
3,36,30,30,72.1543,0
3,37,70,25,63.5865,0
3,38,5,25,32.0086,0
3,39,2,13,9.791,4
3,40,70,95,79.8788,0
3,41,90,85,46.9777,0
3,42,64,4,46.9233,4
3,43,25,95,61.8169,0
3,44,79,69,86.2755,4
3,45,10,20,3.87619,0
3,46,25,25,26.6279,0
3,47,15,43,30.0977,4
3,48,90,80,9.1535,0
3,49,87,61,50.2004,4
3,50,43,61,6,3
3,51,49,30,47.4433,4
3,52,20,60,38.6969,0
3,53,10,45,52.4042,0
3,54,80,65,79.6657,0
3,55,65,0,72.6814,0
3,56,1,29,14.1694,4
3,57,75,35,11.0632,0
3,58,20,45,20.6213,0
3,59,62,39,39.919,4
3,60,30,15,57.8933,0
3,61,30,65,6.26011,0
3,62,98,54,9.74971,4
3,63,85,60,55.1302,0
3,64,59,50,6,3
3,65,75,15,23.0933,0
3,66,45,45,35.6533,0
3,67,0,30,93.2361,0
3,68,97,5,38.2452,4
3,69,93,53,82.0484,4
3,70,30,85,5.54421,0
3,71,11,40,2,1
3,72,15,10,21.1311,0
3,73,14,67,99.7438,4
3,74,15,75,74.2535,0
3,75,95,75,41.717,0
3,76,60,65,0,0
3,77,80,86,53.6443,4
3,78,25,80,18.759,0
3,79,0,85,27.8872,0
3,80,59,63,77.2335,4
3,81,99,16,59.4643,4
3,82,15,85,49.6593,0
3,83,92,62,20.8075,4
3,84,56,79,53.1903,4
3,85,85,49,86.2184,4
3,86,10,95,86.6785,0
3,87,85,45,57.3918,0
3,88,14,14,32.0079,4
3,89,68,40,93.1117,4
3,90,21,69,39.5875,4
3,91,92,59,82.3826,4
3,92,85,28,9.75133,4
3,93,50,45,64.4175,0
3,94,86,98,12.512,4
3,95,60,25,70.6228,0
3,96,50,65,0.644356,0
3,97,5,62,4,2
3,98,15,0,29.5749,0
3,99,85,5,46.4744,0
3,100,45,15,61.455,0
4,1,60,85,75.3233,0
4,2,65,55,49.4111,0
4,3,82,47,6,3
4,4,5,10,17.445,0
